name,design,tool,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,mi
iron_ext,VReduce(Max),wily,h1,h2,N1,N2,0.0,length,calculated_length,volume,0.0,effort,time,bugs,100.0
iron,VReduce(Max),wily,h1,h2,N1,N2,-10.0,length,calculated_length,volume,-1.0,effort,time,bugs,123.3966
iron_ext,ColorThreshold,wily,h1,h2,N1,N2,18.0,length,calculated_length,volume,2.85714,effort,time,bugs,69.8266
iron,ColorThreshold,wily,h1,h2,N1,N2,22.0,length,calculated_length,volume,3.805192,effort,time,bugs,77.53447
iron_ext,EdgeDetect,wily,h1,h2,N1,N2,21.0,length,calculated_length,volume,4.2,effort,time,bugs,60.4057
iron,EdgeDetect,wily,h1,h2,N1,N2,25.0,length,calculated_length,volume,4.858333,effort,time,bugs,63.4568
iron_ext,Conv2D(FusedReLU),wily,h1,h2,N1,N2,12.0,length,calculated_length,volume,1.6,effort,time,bugs,74.1732
iron,Conv2D(FusedReLU),wily,h1,h2,N1,N2,12.0,length,calculated_length,volume,1.6,effort,time,bugs,77.71561
iron_ext,VSOp(Mul),wily,h1,h2,N1,N2,18.0,length,calculated_length,volume,3.5,effort,time,bugs,73.9272
iron,VSOp(Mul),wily,h1,h2,N1,N2,18.0,length,calculated_length,volume,3.5,effort,time,bugs,76.24906
iron_ext,Copy(Kern),wily,h1,h2,N1,N2,14.0,length,calculated_length,volume,2.77778,effort,time,bugs,80.8305
iron,Copy(Kern),wily,h1,h2,N1,N2,14.0,length,calculated_length,volume,2.77778,effort,time,bugs,84.32823
iron_ext,VVOp(Mul),wily,h1,h2,N1,N2,14.0,length,calculated_length,volume,2.0,effort,time,bugs,78.5901
iron,VVOp(Mul),wily,h1,h2,N1,N2,12.0,length,calculated_length,volume,2.0,effort,time,bugs,82.79234000000001
iron_ext,MSAdd,wily,h1,h2,N1,N2,11.0,length,calculated_length,volume,1.5,effort,time,bugs,80.3731
iron,MSAdd,wily,h1,h2,N1,N2,9.0,length,calculated_length,volume,1.5,effort,time,bugs,86.59197999999999
iron_ext,VSoftMax,wily,h1,h2,N1,N2,11.0,length,calculated_length,volume,3.375,effort,time,bugs,74.3565
iron,VSoftMax,wily,h1,h2,N1,N2,1.0,length,calculated_length,volume,3.0,effort,time,bugs,80.97299
iron_ext,BBlock,wily,h1,h2,N1,N2,29.0,length,calculated_length,volume,2.56,effort,time,bugs,57.8386
iron,BBlock,wily,h1,h2,N1,N2,21.0,length,calculated_length,volume,2.210909,effort,time,bugs,63.11214
iron_ext,VVOp(Add),wily,h1,h2,N1,N2,14.0,length,calculated_length,volume,2.0,effort,time,bugs,78.5901
