name,pygount_loc_baseline,pygount_loc_ext,radon_loc_baseline,radon_loc_ext
VReduce(Max),50,26,52,27
ColorThreshold,169,81,190,91
EdgeDetect,198,177,231,214
Conv2D(FusedReLU),86,73,95,82
VSOp(Mul),64,55,67,58
Copy(Kern),48,39,49,39
VVOp(Mul),56,43,57,43
MSAdd,62,43,64,43
VSoftMax,79,58,85,64
BBlock,332,245,394,280
VVOp(Add),56,43,57,43
VVOp(AddKern),94,75,102,85
ResNetConv2x,623,414,766,488
VVOp(Mod),56,43,57,43
MVAdd,55,44,60,47
VReduce(Min),50,26,52,27
VReLU,76,60,81,67
VReduce(Add),50,26,52,27
VVOp(MulKern),94,76,102,86
MVMul,113,69,125,71
ColorDetect,163,146,182,171
Copy(ExtKern),52,42,54,45
GEMM,297,279,343,321
Conv2D(),89,77,99,86
VSOp(Add),49,36,51,36
MTranspose,36,28,39,29
Copy(DMA),42,29,43,29
