name,design,tool,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,mi
iron,VReduce(Max),radon,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451,mi
iron,ColorThreshold,radon,3,11,7,14,14,21,42.808635307173745,79.95445336320968,1.9090909090909092,152.64032005703666,8.480017780946481,0.026651484454403226,mi
iron,EdgeDetect,radon,5,12,9,17,17,26,54.62919048309069,106.27403387250884,3.5416666666666665,376.38720329846876,20.910400183248264,0.03542467795750295,mi
iron,Conv2D(FusedReLU),radon,2,10,8,16,12,24,35.219280948873624,86.03910001730776,1.6,137.66256002769242,7.647920001538468,0.028679700005769252,mi
iron,VSOp(Mul),radon,6,12,7,14,18,21,58.52932501298082,87.56842503028855,3.5,306.4894876060099,17.02719375588944,0.029189475010096184,mi
iron,Copy(Kern),radon,5,9,5,10,14,15,40.13896548741762,57.110323830864054,2.7777777777777777,158.6397884190668,8.813321578837044,0.019036774610288017,mi
iron,VVOp(Mul),radon,4,12,6,12,16,18,51.01955000865388,72.0,2.0,144.0,8.0,0.024,mi
iron,MSAdd,radon,3,10,5,10,13,15,37.974168451037094,55.506595772116384,1.5,83.25989365817458,4.625549647676365,0.01850219859070546,mi
iron,VSoftMax,radon,5,16,12,24,21,36,75.60964047443682,158.12342722003538,3.75,592.9628520751327,32.942380670840706,0.05270780907334513,mi
iron,BBlock,radon,4,33,24,48,37,72,174.46500593882897,375.08064232528443,2.909090909090909,1091.1436867644638,60.61909370913688,0.1250268807750948,mi
iron,VVOp(Add),radon,4,12,6,12,16,18,51.01955000865388,72.0,2.0,144.0,8.0,0.024,mi
iron,VVOp(AddKern),radon,5,17,16,32,22,48,81.0965087756926,214.05271769459029,4.705882352941177,1007.306906798072,55.96149482211511,0.07135090589819676,mi
iron,ResNetConv2x,radon,5,63,74,148,68,222,388.17827565493155,1351.4167507575755,5.873015873015873,7936.892028258776,440.93844601437644,0.4504722502525252,mi
iron,VVOp(Mod),radon,4,12,6,12,16,18,51.01955000865388,72.0,2.0,144.0,8.0,0.024,mi
iron,MVAdd,radon,4,17,11,22,21,33,77.48686830125578,144.94647495169912,2.588235294117647,375.15558222792714,20.8419767904404,0.048315491650566374,mi
iron,VReduce(Min),radon,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451,mi
iron,VReLU,radon,5,15,12,24,20,36,70.2129994085646,155.58941141594505,4.0,622.3576456637802,34.5754247590989,0.05186313713864835,mi
iron,VReduce(Add),radon,2,8,4,8,10,12,26.0,39.863137138648355,1.0,39.863137138648355,2.2146187299249087,0.013287712379549451,mi
iron,VVOp(MulKern),radon,5,17,16,32,22,48,81.0965087756926,214.05271769459029,4.705882352941177,1007.306906798072,55.96149482211511,0.07135090589819676,mi
iron,MVMul,radon,3,18,13,26,21,39,79.81353752812508,171.30037948837168,2.1666666666666665,371.15082222480527,20.619490123600293,0.05710012649612389,mi
iron,ColorDetect,radon,2,8,6,12,10,18,26.0,59.794705707972525,1.5,89.69205856195879,4.9828921423310435,0.019931568569324175,mi
