name,pygount_loc_baseline,pygount_loc_ext,radon_loc_baseline,radon_loc_ext
VReduce(Max),50,26,53,27
ColorThreshold,168,81,189,91
BottleneckBlock,342,245,408,280
EdgeDetect,198,177,231,214
Conv2D(FusedReLU),86,73,95,82
VSOp(Mul),66,54,71,57
Passthrough(DMA),45,28,48,28
VVOp(Mul),56,43,57,43
VSoftMax,79,58,86,64
VVOp(Add),56,43,57,43
VVOp(AddKern),104,75,115,85
ResNetConv2x,653,414,808,488
VVOp(Mod),57,43,60,43
MVAdd,53,44,57,47
VReduce(Min),50,26,52,27
VReLU,81,61,87,68
VReduce(Add),50,26,52,27
VVOp(MulKern),105,76,116,86
GEMMSingle,193,153,225,165
MVMul,112,69,124,71
Passthrough(Kernel),52,41,55,44
ColorDetect,163,146,182,171
GEMM,296,279,342,321
Conv2D(),94,77,104,86
VSOp(Add),48,36,50,36
Passthrough(PyKernel),48,38,50,38
MTranspose,38,30,42,32
